"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"31","RADIO2",29299.9006485845,638991.0642022,0.00699218738740137,4840.84139547121,0.00788035806465726,638991.0642022,0.00699218738740137,4840.84139547121,0.00788035806465726,TRUE,0.0729121375392983,0.0729121375392983,416.668357142857,58333.57,NA,NA,0.0365017694341236,0.0365017694341236,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,4564.22188715857,2603.82076970266,2187.1524125598,10.9540880868803,10.9540880868803,0.0912901185446642,0.0912901185446643,3,FALSE,6.52920154658129,1.01786359082273,0,18.1078935311465,0.805120660813868
"32","META",30628.2037610006,1182175.13377616,0.0129360025877819,11477.4284832637,0.018683992868312,1182175.13377616,0.0129360025877819,11477.4284832637,0.018683992868312,TRUE,0.0504802219713111,0.0504802219713111,288.4775,40386.85,NA,NA,0.0675306535275692,0.0675306535275692,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,8444.10809840112,672.72503714511,384.24753714511,29.2712883964993,29.2712883964993,0.034163169945044,0.034163169945044,3,FALSE,26.5736379129062,1.33661078685286,11.3663222414522,41.7632355171837,0.576871577518477
"33","GADS",37323.0833285166,2209380.67568889,0.024176243706644,15781.290540635,0.0256902075533682,2209380.67568889,0.024176243706644,15781.290540635,0.0256902075533682,TRUE,0.119277756794444,0.119277756794444,681.632285714286,95428.52,NA,NA,0.126208813447014,0.126208813447014,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,15781.290540635,2968.67949885482,2287.04721314054,23.1522051865511,23.1522051865511,0.043192429919414,0.043192429919414,3,FALSE,36.0178388689929,2.74951832400006,4.71310720412058,67.2420579403717,0.812092110588933
"34","YT",0,0,0,0,0,0,0,0,0,TRUE,0.0116702027243347,0.0116702027243347,66.6912857142857,9336.78,NA,NA,0,0,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,0,182.776484561697,116.085198847411,0,0,Inf,Inf,3,FALSE,0,0,0,0,NA
"35","(Intercept)",123315.019772525,17264102.7681535,0.188913192050657,123315.019772525,0.20078129329249,17264102.7681535,0.188913192050657,123315.019772525,0.20078129329249,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379014185267746,NA,NA,0.0948113605445002,NA,NA,0.0948113605445002,0.245050501052895,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_218_4",1,218,4,1523,1,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"36","trend",0.521970177343235,49106043.4099375,0.537345006232353,350757.452928125,0.571102653681603,49106043.4099375,0.537345006232353,350757.452928125,0.571102653681603,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379014185267746,NA,NA,0.0948113605445002,NA,NA,0.0948113605445002,0.245050501052895,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_218_4",1,218,4,1523,1,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"37","season",0.790095710237612,1095452.22668865,0.0119870334220032,7824.6587620618,0.0127400953161848,1095452.22668865,0.0119870334220032,7824.6587620618,0.0127400953161848,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379014185267746,NA,NA,0.0948113605445002,NA,NA,0.0948113605445002,0.245050501052895,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_218_4",1,218,4,1523,1,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"38","holiday",0.721483160418145,-3027927.10328893,-0.0331332234325081,-86512.2029511123,-0.140859013169268,-3027927.10328893,-0.0331332234325081,-86512.2029511123,-0.140859013169268,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379014185267746,NA,NA,0.0948113605445002,NA,NA,0.0948113605445002,0.245050501052895,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_218_4",1,218,4,1523,1,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"39","Temperatura.men.",1549.3134650137,1931529.09683258,0.0211358407744461,13796.636405947,0.0224636585695904,1931529.09683258,0.0211358407744461,13796.636405947,0.0224636585695904,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379014185267746,NA,NA,0.0948113605445002,NA,NA,0.0948113605445002,0.245050501052895,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_218_4",1,218,4,1523,1,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"40","Euribor",19826.6292979613,8654343.51518942,0.0947005286352452,61816.7393942101,0.100649903844557,8654343.51518942,0.0947005286352452,61816.7393942101,0.100649903844557,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379014185267746,NA,NA,0.0948113605445002,NA,NA,0.0948113605445002,0.245050501052895,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_218_4",1,218,4,1523,1,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
